transaction_id,itemDescription
3445_2015-04-30,soda
3180_2015-03-15,whole milk
4934_2015-09-06,rolls/buns
2763_2015-02-13,root vegetables
4819_2015-03-04,pastry
3169_2015-07-02,berries
1850_2015-03-11,citrus fruit
4285_2015-12-29,whole milk
4366_2015-08-13,soda
2253_2015-06-16,bottled water
3398_2015-03-11,tropical fruit
2215_2015-07-22,salty snack
3737_2015-03-03,bottled water
2649_2015-11-28,chocolate
3203_2015-08-07,citrus fruit
4261_2015-02-16,bottled water
2435_2015-07-17,onions
2046_2015-08-21,dessert
4267_2015-02-11,beef
1086_2015-12-28,rolls/buns
3622_2015-07-26,soda
4700_2015-06-27,coffee
2272_2015-05-16,rolls/buns
1663_2015-05-19,pork
2519_2015-06-03,soda
2639_2015-10-30,sausage
4122_2015-10-23,whole milk
3598_2015-04-15,pork
3097_2015-08-10,berries
1873_2015-09-19,sausage
1537_2015-02-01,bottled water
1136_2015-06-15,herbs
2453_2015-12-21,yogurt
1746_2015-02-15,Instant food products
3207_2015-11-26,bottled beer
1042_2015-02-12,beef
1176_2015-03-30,whole milk
3054_2015-02-23,frankfurter
4486_2015-12-02,frankfurter
1580_2015-12-05,other vegetables
4169_2015-11-24,whole milk
2254_2015-01-24,frankfurter
4095_2015-11-01,other vegetables
1264_2015-11-17,bottled water
3375_2015-01-06,pork
3242_2015-05-23,bottled water
2227_2015-06-07,other vegetables
3847_2015-12-03,hamburger meat
1799_2015-09-27,shopping bags
2920_2015-04-26,whole milk
3713_2015-01-31,ice cream
4230_2015-11-05,pastry
1455_2015-03-18,ham
2988_2015-10-14,bottled beer
4242_2015-03-30,bottled water
4118_2015-12-24,meat
4996_2015-10-24,dessert
4489_2015-03-04,other vegetables
4108_2015-05-12,ham
3484_2015-06-05,specialty bar
1239_2015-08-31,brown bread
4839_2015-12-19,whole milk
4748_2015-05-07,rolls/buns
4426_2015-06-06,bottled beer
3571_2015-12-11,pet care
2852_2015-06-08,citrus fruit
3638_2015-05-26,pork
3635_2015-03-10,other vegetables
2723_2015-05-07,white wine
3495_2015-03-11,whole milk
2813_2015-11-16,pip fruit
4723_2015-05-22,tropical fruit
4748_2015-12-15,soda
2991_2015-02-16,whole milk
1483_2015-04-01,tropical fruit
3950_2015-10-01,white bread
1634_2015-01-16,brown bread
2694_2015-11-21,tropical fruit
2707_2015-10-18,domestic eggs
2276_2015-01-11,soda
4353_2015-05-25,bottled beer
4017_2015-08-13,pork
1422_2015-08-21,other vegetables
2714_2015-03-15,yogurt
2769_2015-07-21,sparkling wine
4166_2015-04-30,bottled water
4361_2015-09-05,hamburger meat
4728_2015-09-06,other vegetables
2119_2015-06-11,herbs
1602_2015-08-29,citrus fruit
2256_2015-04-11,female sanitary products
1348_2015-09-17,soda
3806_2015-08-28,tropical fruit
1711_2015-06-06,soda
3959_2015-04-12,white bread
1590_2015-08-15,coffee
2551_2015-10-21,citrus fruit
4531_2015-05-29,frankfurter
4415_2015-01-27,other vegetables
1476_2015-08-26,yogurt
3978_2015-07-23,sausage
3252_2015-06-28,pip fruit
3922_2015-06-24,whole milk
1491_2015-10-17,root vegetables
3526_2015-08-26,onions
4060_2015-12-11,specialty chocolate
1067_2015-04-08,hamburger meat
4484_2015-11-27,rolls/buns
2353_2015-02-07,canned beer
3130_2015-02-18,canned beer
4565_2015-12-30,canned beer
2504_2015-08-14,curd
4129_2015-09-22,whole milk
4511_2015-06-29,beef
1602_2015-08-04,sausage
4369_2015-02-01,soda
1302_2015-09-29,fruit/vegetable juice
3326_2015-04-30,rolls/buns
2066_2015-05-21,pip fruit
3483_2015-01-15,frozen vegetables
1807_2015-05-18,hamburger meat
2884_2015-01-04,frozen vegetables
2293_2015-05-08,rolls/buns
3718_2015-05-20,hamburger meat
4338_2015-01-25,pip fruit
3486_2015-11-08,canned beer
3635_2015-09-04,grapes
3120_2015-10-20,cling film/bags
2777_2015-04-07,whole milk
2702_2015-05-27,pork
4796_2015-06-29,chicken
2740_2015-07-02,specialty bar
1833_2015-04-13,whipped/sour cream
1757_2015-12-23,root vegetables
2975_2015-10-24,rolls/buns
4032_2015-08-10,other vegetables
3772_2015-03-09,whole milk
4523_2015-10-28,frankfurter
4004_2015-04-19,coffee
2394_2015-06-21,canned beer
4616_2015-08-16,canned beer
3593_2015-11-03,pip fruit
4389_2015-08-27,pork
3206_2015-08-11,soap
4601_2015-01-04,pip fruit
4382_2015-11-13,beef
4691_2015-10-12,frozen chicken
3735_2015-11-28,soda
3900_2015-12-20,tropical fruit
1815_2015-08-30,beef
4778_2015-01-15,meat
1734_2015-07-13,rolls/buns
4019_2015-02-05,pastry
4605_2015-05-28,pork
4864_2015-11-14,pip fruit
1862_2015-08-03,beef
1846_2015-07-19,rolls/buns
2019_2015-05-28,citrus fruit
2042_2015-11-19,meat
1768_2015-05-26,beverages
3847_2015-03-26,beef
3557_2015-07-20,ham
3975_2015-02-27,hamburger meat
4198_2015-03-18,beef
4704_2015-08-21,tropical fruit
3093_2015-03-13,shopping bags
2170_2015-06-18,canned beer
3899_2015-03-23,other vegetables
2941_2015-10-03,hamburger meat
1958_2015-07-03,hamburger meat
2760_2015-08-08,frankfurter
4413_2015-08-03,bottled beer
1737_2015-05-15,tropical fruit
3819_2015-06-28,chicken
2854_2015-02-08,coffee
4387_2015-09-16,whole milk
4530_2015-04-12,margarine
4191_2015-11-03,tropical fruit
3102_2015-12-04,meat
1946_2015-01-25,cream cheese 
2156_2015-05-15,newspapers
1444_2015-12-16,rolls/buns
1699_2015-05-14,citrus fruit
4954_2015-05-04,whole milk
2207_2015-04-08,frankfurter
4437_2015-11-29,domestic eggs
3018_2015-06-27,rolls/buns
1195_2015-09-28,whole milk
3384_2015-11-29,bottled water
2524_2015-10-17,frankfurter
2096_2015-01-25,sausage
1489_2015-03-13,pork
1431_2015-07-20,yogurt
2747_2015-07-05,whole milk
3054_2015-03-22,frankfurter
2691_2015-10-09,beef
1752_2015-04-19,pip fruit
3027_2015-09-15,sausage
4452_2015-06-17,pastry
4129_2015-08-13,chicken
3523_2015-11-09,root vegetables
2128_2015-02-11,whole milk
4867_2015-02-03,detergent
3958_2015-10-27,curd
3292_2015-09-13,beef
2861_2015-02-23,whole milk
1757_2015-02-24,pork
1509_2015-12-30,other vegetables
2364_2015-05-11,rolls/buns
3084_2015-10-26,frankfurter
1072_2015-10-23,frankfurter
4196_2015-07-09,rolls/buns
4814_2015-09-13,whole milk
4584_2015-10-25,chicken
2751_2015-02-03,tropical fruit
4155_2015-09-24,sausage
4566_2015-07-27,frankfurter
2371_2015-08-30,UHT-milk
3442_2015-11-14,rolls/buns
3090_2015-09-27,canned beer
1457_2015-01-09,yogurt
4952_2015-04-08,whipped/sour cream
3165_2015-01-11,rolls/buns
2608_2015-09-19,rolls/buns
3363_2015-01-07,rolls/buns
1731_2015-09-09,bottled beer
2760_2015-08-02,citrus fruit
3120_2015-01-14,bottled water
1332_2015-04-30,pastry
4530_2015-09-12,domestic eggs
3145_2015-02-23,beef
1099_2015-08-13,spread cheese
1827_2015-05-01,meat
2485_2015-02-17,onions
4683_2015-01-15,frankfurter
4358_2015-11-06,beef
1931_2015-10-09,beef
2490_2015-12-18,sausage
4842_2015-12-08,chicken
4616_2015-01-01,canned beer
2810_2015-09-22,sausage
2785_2015-10-18,tropical fruit
3591_2015-07-20,frankfurter
3896_2015-09-10,sausage
3842_2015-07-01,beef
2648_2015-07-10,tropical fruit
4688_2015-10-02,yogurt
3511_2015-08-26,frankfurter
3084_2015-09-04,bottled beer
3810_2015-05-07,grapes
4348_2015-02-26,beverages
3584_2015-03-10,curd
2620_2015-06-11,ice cream
2716_2015-01-18,sausage
3797_2015-08-10,other vegetables
2976_2015-06-02,dessert
2762_2015-11-07,decalcifier
3752_2015-04-25,canned beer
1659_2015-11-30,coffee
4109_2015-02-08,berries
1542_2015-08-07,pork
2068_2015-06-07,frankfurter
4509_2015-06-14,pork
2122_2015-04-07,frozen dessert
2730_2015-06-15,chicken
1800_2015-07-31,vinegar
1456_2015-09-18,rolls/buns
1138_2015-09-02,whole milk
4104_2015-06-12,pork
4985_2015-02-28,rolls/buns
4697_2015-01-09,other vegetables
4742_2015-01-11,ham
2640_2015-04-22,other vegetables
2825_2015-12-29,sausage
2592_2015-07-04,canned beer
4852_2015-08-21,packaged fruit/vegetables
2982_2015-06-14,canned beer
1981_2015-10-31,chicken
3497_2015-11-24,pet care
3668_2015-12-18,root vegetables
4460_2015-05-28,pastry
1335_2015-01-16,frankfurter
4303_2015-12-07,chicken
3508_2015-02-28,frozen dessert
3856_2015-03-06,sausage
4640_2015-09-25,root vegetables
4851_2015-05-25,bottled beer
3306_2015-09-22,frankfurter
2193_2015-04-08,root vegetables
1156_2015-09-13,berries
4596_2015-04-08,hamburger meat
1245_2015-10-08,tropical fruit
1515_2015-07-05,frankfurter
2564_2015-07-14,frankfurter
4527_2015-10-18,soda
3420_2015-02-27,beef
3164_2015-04-30,pork
3601_2015-04-01,whole milk
3176_2015-05-25,bottled beer
2568_2015-07-22,pork
1856_2015-10-26,root vegetables
3859_2015-09-30,canned beer
1668_2015-08-21,citrus fruit
1753_2015-08-21,root vegetables
3829_2015-06-25,tropical fruit
4825_2015-01-08,beef
3694_2015-11-10,chicken
4147_2015-01-02,citrus fruit
2196_2015-10-09,meat
2229_2015-05-22,cream cheese 
4711_2015-09-17,frankfurter
1216_2015-03-04,turkey
3154_2015-05-14,citrus fruit
3111_2015-10-15,newspapers
1158_2015-03-21,yogurt
2733_2015-07-22,yogurt
4999_2015-12-26,bottled water
2882_2015-06-12,berries
2590_2015-06-25,packaged fruit/vegetables
4249_2015-08-04,frankfurter
3012_2015-05-03,nuts/prunes
1533_2015-11-07,citrus fruit
1667_2015-01-12,beef
4323_2015-05-13,whole milk
2087_2015-02-22,other vegetables
1853_2015-05-31,beef
2049_2015-10-07,tropical fruit
3122_2015-05-02,coffee
2245_2015-05-15,sausage
4746_2015-10-18,meat
4219_2015-03-19,berries
4212_2015-04-07,chicken
1902_2015-12-01,chicken
1347_2015-03-27,beef
1578_2015-06-23,packaged fruit/vegetables
4632_2015-09-30,frankfurter
3452_2015-11-01,berries
3987_2015-06-18,sausage
1672_2015-10-07,whole milk
4864_2015-12-01,ice cream
1283_2015-09-22,root vegetables
4428_2015-06-28,sausage
2577_2015-10-25,sausage
1973_2015-10-24,beef
3284_2015-01-23,fruit/vegetable juice
1905_2015-05-19,sugar
1932_2015-09-04,yogurt
1843_2015-11-27,bottled beer
1651_2015-07-28,beef
3997_2015-10-12,pork
4796_2015-08-25,white bread
1245_2015-09-24,grapes
3579_2015-08-17,potato products
4387_2015-02-10,root vegetables
2496_2015-06-29,chicken
3590_2015-03-28,chicken
2890_2015-04-26,fish
1401_2015-01-27,canned beer
3297_2015-05-21,other vegetables
2867_2015-12-23,chicken
1170_2015-03-19,whole milk
4171_2015-01-26,sausage
3963_2015-09-17,whole milk
3076_2015-12-08,rolls/buns
1629_2015-05-17,citrus fruit
3677_2015-07-29,pastry
2844_2015-05-21,tropical fruit
4509_2015-09-28,sliced cheese
3245_2015-05-11,soda
2294_2015-06-22,ham
3001_2015-12-24,whole milk
3587_2015-08-05,root vegetables
2700_2015-01-22,soda
3838_2015-12-14,curd
4045_2015-12-22,bottled water
1858_2015-04-25,packaged fruit/vegetables
2280_2015-01-11,tropical fruit
2454_2015-04-06,ham
4437_2015-10-09,pork
1685_2015-03-30,beverages
2349_2015-02-26,sausage
4914_2015-11-29,whole milk
3387_2015-05-10,soda
4627_2015-12-18,canned beer
1773_2015-10-17,frankfurter
3100_2015-05-23,frankfurter
3673_2015-08-12,frankfurter
4068_2015-11-19,newspapers
2340_2015-10-07,frozen fish
1930_2015-03-01,tropical fruit
1617_2015-02-10,rolls/buns
1028_2015-07-11,specialty chocolate
3554_2015-07-23,citrus fruit
1632_2015-12-15,onions
1429_2015-02-07,whole milk
1225_2015-05-20,photo/film
2509_2015-07-15,hamburger meat
4945_2015-08-02,other vegetables
1832_2015-09-28,pork
1518_2015-06-21,tropical fruit
1512_2015-09-20,chicken
4818_2015-03-20,other vegetables
4986_2015-02-01,whole milk
2070_2015-08-16,ice cream
4729_2015-04-08,salt
3204_2015-02-20,tropical fruit
3361_2015-07-22,chocolate
1776_2015-02-25,ice cream
2009_2015-10-11,tropical fruit
2394_2015-11-22,butter
1337_2015-12-25,other vegetables
1727_2015-07-18,citrus fruit
4326_2015-01-21,beef
2212_2015-09-22,curd
1990_2015-08-01,citrus fruit
3836_2015-12-06,yogurt
4560_2015-07-01,bottled beer
1379_2015-05-18,pork
1658_2015-09-03,sausage
2948_2015-06-16,frankfurter
1273_2015-05-04,artif. sweetener
1155_2015-12-27,frankfurter
3841_2015-04-02,frankfurter
1683_2015-08-20,whole milk
1774_2015-08-07,domestic eggs
1929_2015-05-02,chicken
2678_2015-11-28,cream cheese 
3423_2015-06-02,sausage
4223_2015-07-19,citrus fruit
2846_2015-09-23,other vegetables
4103_2015-07-26,chicken
4789_2015-05-02,ice cream
2518_2015-05-03,pork
2622_2015-03-07,onions
4321_2015-01-29,tropical fruit
2050_2015-06-28,whipped/sour cream
3938_2015-05-26,berries
1636_2015-09-19,rolls/buns
4694_2015-07-29,ice cream
2432_2015-07-07,coffee
4937_2015-05-18,whole milk
1293_2015-03-01,whole milk
2267_2015-01-30,beef
3997_2015-06-09,pork
4792_2015-07-20,turkey
2292_2015-03-25,margarine
3151_2015-09-25,bottled water
4993_2015-01-21,chocolate
1606_2015-11-11,frankfurter
1815_2015-01-13,sausage
1395_2015-06-11,brown bread
3456_2015-06-16,root vegetables
1597_2015-02-05,UHT-milk
2315_2015-05-02,onions
4095_2015-09-29,beef
3680_2015-11-24,pork
3426_2015-10-25,yogurt
4750_2015-08-04,yogurt
1384_2015-08-09,pip fruit
3120_2015-08-09,meat
1081_2015-04-25,coffee
1171_2015-05-05,bottled water
4932_2015-07-08,bottled beer
4189_2015-09-11,sausage
2928_2015-02-11,pork
4817_2015-03-18,frankfurter
4254_2015-07-20,root vegetables
4071_2015-09-19,sausage
2109_2015-10-28,sausage
1412_2015-07-05,root vegetables
4056_2015-10-20,tropical fruit
4441_2015-05-05,grapes
2107_2015-11-27,frankfurter
1497_2015-07-26,shopping bags
2211_2015-01-01,butter
3510_2015-01-02,frankfurter
4074_2015-05-27,pork
3190_2015-11-21,whole milk
2297_2015-03-01,brown bread
3311_2015-07-01,frozen fish
2125_2015-06-25,whipped/sour cream
4165_2015-08-18,sausage
2336_2015-04-14,chewing gum
3549_2015-08-01,beef
2854_2015-02-08,other vegetables
3413_2015-02-08,frankfurter
1780_2015-10-13,canned fish
2106_2015-08-13,bottled water
3929_2015-07-30,specialty cheese
3857_2015-10-01,bottled water
4459_2015-12-18,bottled water
4042_2015-12-17,frankfurter
2599_2015-05-06,chicken
1580_2015-06-14,citrus fruit
3269_2015-10-07,whipped/sour cream
4368_2015-01-29,frankfurter
1111_2015-11-20,beef
4841_2015-09-13,chicken
3047_2015-09-07,sausage
4349_2015-03-14,citrus fruit
2370_2015-07-18,specialty chocolate
3094_2015-06-28,frankfurter
1146_2015-09-12,pork
2287_2015-12-16,UHT-milk
3911_2015-08-23,UHT-milk
4891_2015-04-19,cookware
4837_2015-12-02,citrus fruit
4464_2015-10-21,sausage
4972_2015-02-06,citrus fruit
4295_2015-07-17,ham
2729_2015-09-24,bottled water
1125_2015-11-19,popcorn
1850_2015-01-11,tropical fruit
2928_2015-09-22,frankfurter
3717_2015-05-30,hamburger meat
3809_2015-03-24,soda
3437_2015-02-02,sausage
1481_2015-01-17,yogurt
1050_2015-05-04,meat
2918_2015-03-16,red/blush wine
4499_2015-08-08,UHT-milk
4117_2015-01-06,brown bread
1630_2015-05-22,semi-finished bread
3715_2015-05-11,whole milk
3512_2015-11-17,cat food
1197_2015-04-27,citrus fruit
3958_2015-03-04,citrus fruit
4890_2015-09-14,meat
4502_2015-11-22,root vegetables
1516_2015-01-28,brown bread
4641_2015-11-29,ham
2561_2015-02-26,root vegetables
2344_2015-12-17,ice cream
2643_2015-04-21,tropical fruit
3236_2015-04-09,finished products
4863_2015-12-30,dessert
2264_2015-01-12,sparkling wine
3168_2015-03-20,other vegetables
1282_2015-11-18,misc. beverages
2832_2015-11-02,other vegetables
1847_2015-04-17,dessert
1231_2015-10-14,sausage
3471_2015-03-28,meat
2421_2015-11-22,sausage
4092_2015-06-14,onions
1577_2015-03-16,beef
3463_2015-06-13,pip fruit
3518_2015-08-01,ham
4325_2015-10-14,yogurt
4947_2015-11-18,citrus fruit
2868_2015-03-20,pork
4537_2015-01-01,ham
2243_2015-09-15,grapes
2399_2015-01-21,pastry
2937_2015-06-17,photo/film
1029_2015-03-14,dessert
4384_2015-09-22,citrus fruit
3756_2015-07-22,soda
3066_2015-11-30,root vegetables
1259_2015-11-27,pork
2245_2015-01-28,turkey
3289_2015-03-01,tropical fruit
3742_2015-08-22,sausage
4531_2015-09-29,pork
1581_2015-08-13,grapes
2175_2015-03-06,other vegetables
3465_2015-11-01,bottled water
2203_2015-06-27,prosecco
2113_2015-08-16,UHT-milk
3072_2015-01-26,bottled water
2805_2015-08-17,rolls/buns
2120_2015-01-26,beef
2071_2015-10-14,beef
2610_2015-02-26,rolls/buns
3489_2015-11-18,berries
3458_2015-08-13,sausage
3305_2015-06-24,shopping bags
3811_2015-06-24,canned beer
1782_2015-08-16,soda
3050_2015-04-07,yogurt
4924_2015-09-14,rolls/buns
3508_2015-08-15,whole milk
2545_2015-11-18,citrus fruit
3638_2015-06-06,citrus fruit
3971_2015-12-30,brown bread
4536_2015-04-06,tropical fruit
2707_2015-06-12,frankfurter
4648_2015-09-14,ham
2699_2015-04-18,other vegetables
3119_2015-02-05,sausage
4778_2015-08-24,citrus fruit
3451_2015-04-26,tropical fruit
4217_2015-11-23,pork
1334_2015-06-07,chicken
2499_2015-11-22,root vegetables
3585_2015-07-21,citrus fruit
3161_2015-11-08,fruit/vegetable juice
2434_2015-06-06,beef
