transaction_id,itemDescription
4353_2015-05-25,bottled beer
4017_2015-08-13,pork
1422_2015-08-21,other vegetables
2714_2015-03-15,yogurt
2769_2015-07-21,sparkling wine
4166_2015-04-30,bottled water
3614_2015-03-02,citrus fruit
4361_2015-09-05,hamburger meat
1922_2015-09-22,packaged fruit/vegetables
4728_2015-09-06,other vegetables
3646_2015-08-08,soda
1155_2015-08-10,whole milk
2119_2015-06-11,herbs
1602_2015-08-29,citrus fruit
1074_2015-06-24,misc. beverages
2256_2015-04-11,female sanitary products
1348_2015-09-17,soda
3806_2015-08-28,tropical fruit
1711_2015-06-06,soda
3959_2015-04-12,white bread
1590_2015-08-15,coffee
1962_2015-06-08,tropical fruit
1766_2015-01-21,pork
2551_2015-10-21,citrus fruit
2294_2015-09-23,frankfurter
4531_2015-05-29,frankfurter
2957_2015-04-12,frankfurter
4415_2015-01-27,other vegetables
1476_2015-08-26,yogurt
3978_2015-07-23,sausage
2062_2015-09-22,whole milk
3252_2015-06-28,pip fruit
3922_2015-06-24,whole milk
1491_2015-10-17,root vegetables
3526_2015-08-26,onions
4060_2015-12-11,specialty chocolate
1067_2015-04-08,hamburger meat
2840_2015-01-27,photo/film
4484_2015-11-27,rolls/buns
2353_2015-02-07,canned beer
3130_2015-02-18,canned beer
4273_2015-06-14,other vegetables
4565_2015-12-30,canned beer
2504_2015-08-14,curd
4127_2015-10-23,butter
2690_2015-04-01,other vegetables
4129_2015-09-22,whole milk
4511_2015-06-29,beef
1602_2015-08-04,sausage
4369_2015-02-01,soda
1302_2015-09-29,fruit/vegetable juice
3326_2015-04-30,rolls/buns
2066_2015-05-21,pip fruit
3483_2015-01-15,frozen vegetables
2840_2015-02-12,beverages
1807_2015-05-18,hamburger meat
2067_2015-08-12,root vegetables
3783_2015-02-17,canned beer
2884_2015-01-04,frozen vegetables
2908_2015-03-15,canned beer
1330_2015-07-10,newspapers
2293_2015-05-08,rolls/buns
3718_2015-05-20,hamburger meat
4338_2015-01-25,pip fruit
3486_2015-11-08,canned beer
3635_2015-09-04,grapes
2857_2015-02-18,root vegetables
3684_2015-08-13,citrus fruit
3120_2015-10-20,cling film/bags
3872_2015-03-19,frankfurter
2777_2015-04-07,whole milk
2702_2015-05-27,pork
4796_2015-06-29,chicken
1564_2015-10-23,sausage
2740_2015-07-02,specialty bar
1833_2015-04-13,whipped/sour cream
1757_2015-12-23,root vegetables
2975_2015-10-24,rolls/buns
4032_2015-08-10,other vegetables
3979_2015-09-16,citrus fruit
3772_2015-03-09,whole milk
4523_2015-10-28,frankfurter
4004_2015-04-19,coffee
2936_2015-06-08,ham
2394_2015-06-21,canned beer
4616_2015-08-16,canned beer
2362_2015-07-08,canned beer
3593_2015-11-03,pip fruit
4389_2015-08-27,pork
3206_2015-08-11,soap
4601_2015-01-04,pip fruit
4382_2015-11-13,beef
2718_2015-06-08,sausage
4691_2015-10-12,frozen chicken
3735_2015-11-28,soda
3900_2015-12-20,tropical fruit
4959_2015-06-30,other vegetables
1815_2015-08-30,beef
2454_2015-04-08,meat
4778_2015-01-15,meat
2289_2015-11-04,bottled water
1734_2015-07-13,rolls/buns
4019_2015-02-05,pastry
4605_2015-05-28,pork
4864_2015-11-14,pip fruit
4205_2015-02-22,beef
1862_2015-08-03,beef
1846_2015-07-19,rolls/buns
2019_2015-05-28,citrus fruit
2042_2015-11-19,meat
1768_2015-05-26,beverages
3847_2015-03-26,beef
3557_2015-07-20,ham
3975_2015-02-27,hamburger meat
4198_2015-03-18,beef
2580_2015-09-04,beef
3474_2015-08-25,root vegetables
1678_2015-11-14,citrus fruit
4254_2015-08-14,yogurt
4704_2015-08-21,tropical fruit
3343_2015-05-10,frankfurter
3812_2015-06-24,beef
3093_2015-03-13,shopping bags
2170_2015-06-18,canned beer
4867_2015-10-29,rolls/buns
3899_2015-03-23,other vegetables
2941_2015-10-03,hamburger meat
1958_2015-07-03,hamburger meat
2760_2015-08-08,frankfurter
4413_2015-08-03,bottled beer
1737_2015-05-15,tropical fruit
4202_2015-02-18,soda
1065_2015-11-13,frankfurter
3819_2015-06-28,chicken
2854_2015-02-08,coffee
4387_2015-09-16,whole milk
4530_2015-04-12,margarine
4191_2015-11-03,tropical fruit
3102_2015-12-04,meat
1946_2015-01-25,cream cheese 
2156_2015-05-15,newspapers
1444_2015-12-16,rolls/buns
1699_2015-05-14,citrus fruit
4954_2015-05-04,whole milk
2207_2015-04-08,frankfurter
4826_2015-01-28,ham
2374_2015-06-08,frankfurter
1604_2015-08-18,sausage
4437_2015-11-29,domestic eggs
2319_2015-05-10,whole milk
3018_2015-06-27,rolls/buns
1195_2015-09-28,whole milk
1768_2015-09-04,sausage
3017_2015-09-28,curd
3384_2015-11-29,bottled water
1918_2015-01-30,beef
2524_2015-10-17,frankfurter
2798_2015-06-17,chicken
2096_2015-01-25,sausage
1489_2015-03-13,pork
1431_2015-07-20,yogurt
2747_2015-07-05,whole milk
3054_2015-03-22,frankfurter
2691_2015-10-09,beef
1752_2015-04-19,pip fruit
3027_2015-09-15,sausage
4452_2015-06-17,pastry
4129_2015-08-13,chicken
3523_2015-11-09,root vegetables
2128_2015-02-11,whole milk
4867_2015-02-03,detergent
4762_2015-10-30,rolls/buns
1632_2015-05-29,house keeping products
4018_2015-11-17,yogurt
1722_2015-07-13,tropical fruit
1438_2015-10-19,tropical fruit
3958_2015-10-27,curd
3292_2015-09-13,beef
2861_2015-02-23,whole milk
1757_2015-02-24,pork
1509_2015-12-30,other vegetables
2364_2015-05-11,rolls/buns
3084_2015-10-26,frankfurter
1850_2015-02-17,yogurt
1949_2015-03-17,whole milk
4740_2015-10-02,bottled water
1072_2015-10-23,frankfurter
4196_2015-07-09,rolls/buns
4814_2015-09-13,whole milk
1514_2015-02-28,rolls/buns
4584_2015-10-25,chicken
2751_2015-02-03,tropical fruit
4155_2015-09-24,sausage
4670_2015-10-11,sausage
4566_2015-07-27,frankfurter
2371_2015-08-30,UHT-milk
3442_2015-11-14,rolls/buns
3090_2015-09-27,canned beer
1457_2015-01-09,yogurt
4952_2015-04-08,whipped/sour cream
3165_2015-01-11,rolls/buns
2608_2015-09-19,rolls/buns
2040_2015-10-07,beverages
1327_2015-08-09,rolls/buns
3363_2015-01-07,rolls/buns
1731_2015-09-09,bottled beer
2760_2015-08-02,citrus fruit
3120_2015-01-14,bottled water
1332_2015-04-30,pastry
4530_2015-09-12,domestic eggs
3145_2015-02-23,beef
1099_2015-08-13,spread cheese
3188_2015-12-06,tropical fruit
3748_2015-10-13,packaged fruit/vegetables
4655_2015-03-31,whole milk
1827_2015-05-01,meat
2485_2015-02-17,onions
4683_2015-01-15,frankfurter
4358_2015-11-06,beef
1931_2015-10-09,beef
2490_2015-12-18,sausage
4842_2015-12-08,chicken
4616_2015-01-01,canned beer
2810_2015-09-22,sausage
2785_2015-10-18,tropical fruit
3591_2015-07-20,frankfurter
3896_2015-09-10,sausage
3842_2015-07-01,beef
2648_2015-07-10,tropical fruit
4688_2015-10-02,yogurt
3511_2015-08-26,frankfurter
3084_2015-09-04,bottled beer
3810_2015-05-07,grapes
4348_2015-02-26,beverages
3584_2015-03-10,curd
2620_2015-06-11,ice cream
2716_2015-01-18,sausage
3797_2015-08-10,other vegetables
2976_2015-06-02,dessert
2762_2015-11-07,decalcifier
3752_2015-04-25,canned beer
1659_2015-11-30,coffee
4109_2015-02-08,berries
1542_2015-08-07,pork
2068_2015-06-07,frankfurter
4509_2015-06-14,pork
4646_2015-06-14,frankfurter
2122_2015-04-07,frozen dessert
2730_2015-06-15,chicken
1800_2015-07-31,vinegar
1456_2015-09-18,rolls/buns
1138_2015-09-02,whole milk
4104_2015-06-12,pork
4985_2015-02-28,rolls/buns
3181_2015-12-13,grapes
3178_2015-10-21,frankfurter
1688_2015-11-10,finished products
1488_2015-11-28,onions
4975_2015-05-08,tropical fruit
4697_2015-01-09,other vegetables
4742_2015-01-11,ham
2640_2015-04-22,other vegetables
2548_2015-12-25,curd
2825_2015-12-29,sausage
2592_2015-07-04,canned beer
3622_2015-12-28,ham
4852_2015-08-21,packaged fruit/vegetables
1839_2015-09-03,meat
2413_2015-04-04,whole milk
2982_2015-06-14,canned beer
1981_2015-10-31,chicken
4440_2015-09-21,rolls/buns
3497_2015-11-24,pet care
3668_2015-12-18,root vegetables
4460_2015-05-28,pastry
1335_2015-01-16,frankfurter
4303_2015-12-07,chicken
3508_2015-02-28,frozen dessert
1959_2015-03-19,citrus fruit
3856_2015-03-06,sausage
3141_2015-07-29,root vegetables
4640_2015-09-25,root vegetables
4851_2015-05-25,bottled beer
3306_2015-09-22,frankfurter
2193_2015-04-08,root vegetables
1156_2015-09-13,berries
4596_2015-04-08,hamburger meat
1245_2015-10-08,tropical fruit
1515_2015-07-05,frankfurter
2564_2015-07-14,frankfurter
4527_2015-10-18,soda
2487_2015-07-09,ice cream
3420_2015-02-27,beef
4442_2015-11-28,whole milk
3164_2015-04-30,pork
3601_2015-04-01,whole milk
3176_2015-05-25,bottled beer
2568_2015-07-22,pork
1856_2015-10-26,root vegetables
3859_2015-09-30,canned beer
1668_2015-08-21,citrus fruit
4499_2015-08-23,pip fruit
1753_2015-08-21,root vegetables
3829_2015-06-25,tropical fruit
4825_2015-01-08,beef
3694_2015-11-10,chicken
4147_2015-01-02,citrus fruit
2196_2015-10-09,meat
2229_2015-05-22,cream cheese 
4724_2015-09-03,citrus fruit
3066_2015-10-11,specialty bar
1120_2015-06-08,meat
4769_2015-08-22,citrus fruit
4711_2015-09-17,frankfurter
2391_2015-06-22,citrus fruit
1216_2015-03-04,turkey
3154_2015-05-14,citrus fruit
3911_2015-07-30,sausage
3111_2015-10-15,newspapers
1385_2015-11-26,whole milk
1158_2015-03-21,yogurt
2733_2015-07-22,yogurt
4999_2015-12-26,bottled water
2882_2015-06-12,berries
2590_2015-06-25,packaged fruit/vegetables
4249_2015-08-04,frankfurter
3012_2015-05-03,nuts/prunes
1533_2015-11-07,citrus fruit
1667_2015-01-12,beef
4323_2015-05-13,whole milk
2087_2015-02-22,other vegetables
1853_2015-05-31,beef
2157_2015-10-29,fish
1136_2015-10-29,other vegetables
2049_2015-10-07,tropical fruit
3122_2015-05-02,coffee
2245_2015-05-15,sausage
4746_2015-10-18,meat
4224_2015-02-24,chicken
4219_2015-03-19,berries
2641_2015-01-01,frozen meals
3173_2015-07-25,whipped/sour cream
2191_2015-10-19,beef
4212_2015-04-07,chicken
1902_2015-12-01,chicken
1347_2015-03-27,beef
1578_2015-06-23,packaged fruit/vegetables
1264_2015-11-23,sugar
4632_2015-09-30,frankfurter
3452_2015-11-01,berries
4822_2015-02-10,bottled water
3987_2015-06-18,sausage
1672_2015-10-07,whole milk
4864_2015-12-01,ice cream
3368_2015-03-09,frankfurter
1283_2015-09-22,root vegetables
4428_2015-06-28,sausage
2577_2015-10-25,sausage
1973_2015-10-24,beef
3284_2015-01-23,fruit/vegetable juice
1905_2015-05-19,sugar
2226_2015-03-09,berries
1932_2015-09-04,yogurt
4506_2015-08-11,pork
1843_2015-11-27,bottled beer
3973_2015-07-27,curd
1651_2015-07-28,beef
3997_2015-10-12,pork
4796_2015-08-25,white bread
1245_2015-09-24,grapes
3579_2015-08-17,potato products
4387_2015-02-10,root vegetables
2496_2015-06-29,chicken
3590_2015-03-28,chicken
2890_2015-04-26,fish
1401_2015-01-27,canned beer
3297_2015-05-21,other vegetables
2867_2015-12-23,chicken
1365_2015-05-20,other vegetables
2355_2015-07-24,tropical fruit
1170_2015-03-19,whole milk
3554_2015-03-21,beef
4171_2015-01-26,sausage
3963_2015-09-17,whole milk
3076_2015-12-08,rolls/buns
1629_2015-05-17,citrus fruit
1366_2015-05-30,whole milk
3677_2015-07-29,pastry
2844_2015-05-21,tropical fruit
4509_2015-09-28,sliced cheese
3245_2015-05-11,soda
2294_2015-06-22,ham
1234_2015-11-20,salty snack
3001_2015-12-24,whole milk
3587_2015-08-05,root vegetables
2700_2015-01-22,soda
3838_2015-12-14,curd
4045_2015-12-22,bottled water
1858_2015-04-25,packaged fruit/vegetables
2280_2015-01-11,tropical fruit
2454_2015-04-06,ham
4437_2015-10-09,pork
1685_2015-03-30,beverages
2349_2015-02-26,sausage
